Timestamp,Open,High,Low,Close,Value,Trades,SMA_10,SMA_50,RSI_14,Return,Middle_Band,Upper_Band,Lower_Band,Return_Signal,Weekday,Day,Month,Year,TOD
2024-08-30,9.9e-07,9.9e-07,8.501e-07,9.199e-07,45337869382.27621,341,9.582e-07,0.0,63.149289397560054,0.021850201108816192,1.1390500000000001e-06,1.5870286108615833e-06,6.910713891384171e-07,-1,4,30,8,2024,0.0
2024-08-31,9.199e-07,1e-06,8.912e-07,9.4e-07,39441835617.67119,583,9.582e-07,0.0,63.149289397560054,0.021850201108816192,1.1390500000000001e-06,1.5870286108615833e-06,6.910713891384171e-07,1,5,31,8,2024,0.0
2024-09-01,9.4e-07,1.0662e-06,8.703e-07,9e-07,44794430612.78247,385,9.582e-07,0.0,63.149289397560054,-0.042553191489361764,1.1390500000000001e-06,1.5870286108615833e-06,6.910713891384171e-07,-1,6,1,9,2024,0.0
2024-09-02,8.999e-07,9.7e-07,8.6e-07,9.101e-07,24736690200.74614,262,9.582e-07,0.0,63.149289397560054,0.011222222222222245,1.1390500000000001e-06,1.5870286108615833e-06,6.910713891384171e-07,1,0,2,9,2024,0.0
2024-09-13,9.7e-07,9.88e-06,7.1e-08,1.081e-06,78636539848.92221,552,9.582e-07,0.0,63.149289397560054,0.18778156246566313,1.1390500000000001e-06,1.5870286108615833e-06,6.910713891384171e-07,1,4,13,9,2024,0.0
2024-09-14,1.086e-06,1.13e-06,1.001e-06,1.012e-06,42818108950.44928,538,9.582e-07,0.0,63.149289397560054,-0.06382978723404242,1.1390500000000001e-06,1.5870286108615833e-06,6.910713891384171e-07,-1,5,14,9,2024,0.0
2024-09-15,1.033e-06,1.12e-06,9.22e-07,9.39e-07,34554111733.86435,460,9.582e-07,0.0,63.149289397560054,-0.07213438735177868,1.1390500000000001e-06,1.5870286108615833e-06,6.910713891384171e-07,-1,6,15,9,2024,0.0
2024-09-16,9.39e-07,1.025e-06,8.62e-07,9.1e-07,35819656299.441055,342,9.582e-07,0.0,63.149289397560054,-0.030883919062832832,1.1390500000000001e-06,1.5870286108615833e-06,6.910713891384171e-07,-1,0,16,9,2024,0.0
2024-09-17,8.92e-07,1.01e-06,8.81e-07,9.5e-07,24318805814.477222,324,9.582e-07,0.0,63.149289397560054,0.04395604395604402,1.1390500000000001e-06,1.5870286108615833e-06,6.910713891384171e-07,1,1,17,9,2024,0.0
2024-09-18,9.4e-07,1.025e-06,8.9e-07,1.02e-06,22146955131.671017,304,9.582e-07,0.0,63.149289397560054,0.0736842105263158,1.1390500000000001e-06,1.5870286108615833e-06,6.910713891384171e-07,1,2,18,9,2024,0.0
2024-09-19,1.021e-06,1.26e-06,1.011e-06,1.179e-06,181832952083.47983,1243,9.841099999999999e-07,0.0,63.149289397560054,0.15588235294117658,1.1390500000000001e-06,1.5870286108615833e-06,6.910713891384171e-07,1,3,19,9,2024,0.0
2024-09-20,1.179e-06,1.505e-06,1.13e-06,1.199e-06,129430661330.15552,712,1.01001e-06,0.0,63.149289397560054,0.016963528413910023,1.1390500000000001e-06,1.5870286108615833e-06,6.910713891384171e-07,1,4,20,9,2024,0.0
