Timestamp,Open,High,Low,Close,Value,Trades,SMA_10,SMA_50,RSI_14,Return,Middle_Band,Upper_Band,Lower_Band,Return_Signal,Weekday,Day,Month,Year,TOD
2022-09-08,0.0333999,0.039,0.028,0.039,145268.31444538,73,0.03352752,0.022827834,21.967289738785325,-0.02706153846153836,0.028786305,0.040106417971813996,0.017466192028186008,-1,3,8,9,2022,0.0
2022-09-09,0.039,0.043,0.02975,0.0379446,605141.0528482003,225,0.03352752,0.022827834,21.967289738785325,-0.02706153846153836,0.028786305,0.040106417971813996,0.017466192028186008,-1,4,9,9,2022,0.0
2022-09-10,0.0386907,0.0399994,0.0309,0.0317301,363125.18584312,167,0.03352752,0.022827834,21.967289738785325,-0.16377824512578876,0.028786305,0.040106417971813996,0.017466192028186008,-1,5,10,9,2022,0.0
2022-09-11,0.0354272,0.036,0.0317341,0.0359999,92740.85442821,76,0.03352752,0.022827834,21.967289738785325,0.13456623206356122,0.028786305,0.040106417971813996,0.017466192028186008,1,6,11,9,2022,0.0
2022-09-12,0.0359999,0.04,0.0320103,0.0348601,420122.27177352,126,0.03352752,0.022827834,21.967289738785325,-0.031661199058886313,0.028786305,0.040106417971813996,0.017466192028186008,-1,0,12,9,2022,0.0
2022-09-13,0.0349999,0.0398488,0.03,0.0338973,442220.34169742,100,0.03352752,0.022827834,21.967289738785325,-0.02761896839079636,0.028786305,0.040106417971813996,0.017466192028186008,-1,1,13,9,2022,0.0
2022-09-14,0.0345683,0.0348,0.03175,0.0320373,150332.53437349,61,0.03352752,0.022827834,21.967289738785325,-0.05487162694373893,0.028786305,0.040106417971813996,0.017466192028186008,-1,2,14,9,2022,0.0
2022-09-15,0.0320995,0.0327575,0.0299293,0.0308331,618374.0406399003,92,0.03352752,0.022827834,21.967289738785325,-0.03758743714357948,0.028786305,0.040106417971813996,0.017466192028186008,-1,3,15,9,2022,0.0
2022-09-16,0.0308476,0.0309401,0.0289411,0.0289424,128455.09883799,49,0.03352752,0.022827834,21.967289738785325,-0.06132046404675495,0.028786305,0.040106417971813996,0.017466192028186008,-1,4,16,9,2022,0.0
2022-09-17,0.0288632,0.0300304,0.0283648,0.0300304,337096.92411483,50,0.03352752,0.022827834,21.967289738785325,0.03759190668361989,0.028786305,0.040106417971813996,0.017466192028186008,1,5,17,9,2022,0.0
2022-09-18,0.0306384,0.0306384,0.0272678,0.0272689,387428.88921271,47,0.03235441,0.022827834,21.967289738785325,-0.09195681709201342,0.028786305,0.040106417971813996,0.017466192028186008,-1,6,18,9,2022,0.0
2022-09-19,0.0271836,0.0272772,0.0238464,0.0263018,717267.1194087599,73,0.03119013,0.022827834,21.967289738785325,-0.03546531029854516,0.028786305,0.040106417971813996,0.017466192028186008,-1,0,19,9,2022,0.0
2022-09-20,0.0262921,0.0262921,0.0245587,0.02546,366466.57695002,52,0.03056312,0.022827834,21.967289738785325,-0.03200541407812396,0.028786305,0.040106417971813996,0.017466192028186008,-1,1,20,9,2022,0.0
2022-09-21,0.0256686,0.0260048,0.0247646,0.0253257,311115.4451619399,42,0.029495700000000003,0.022827834,21.967289738785325,-0.005274941084053464,0.028786305,0.040106417971813996,0.017466192028186008,-1,2,21,9,2022,0.0
2022-09-22,0.0246142,0.0263785,0.0239246,0.0259816,416527.9669695401,43,0.02860785,0.022827834,24.01081219206415,0.025898593128719005,0.028786305,0.040106417971813996,0.017466192028186008,1,3,22,9,2022,0.0
2022-09-23,0.0264025,0.0264025,0.0224283,0.0237361,822076.4164875699,71,0.02759173,0.022827834,22.921645531504538,-0.08642654801859784,0.028786305,0.040106417971813996,0.017466192028186008,-1,4,23,9,2022,0.0
2022-09-24,0.0235851,0.0242072,0.0225577,0.0240412,589436.4927637102,91,0.026792119999999996,0.022827834,31.086512680490998,0.012853838667683304,0.028786305,0.040106417971813996,0.017466192028186008,1,5,24,9,2022,0.0
2022-09-25,0.0236268,0.0236268,0.0203947,0.0214271,2076287.4526253296,178,0.02585152,0.022827834,10.974355678385493,-0.10873417300301136,0.028786305,0.040106417971813996,0.017466192028186008,-1,6,25,9,2022,0.0
2022-09-26,0.0213873,0.0213873,0.0200001,0.0203085,432394.3872780901,66,0.02498813,0.022827834,10.986830816746732,-0.052204918071040884,0.028786305,0.040106417971813996,0.017466192028186008,-1,0,26,9,2022,0.0
2022-09-27,0.0206826,0.0218845,0.0204538,0.0206,837093.4695672598,48,0.024045089999999998,0.022827834,13.01847226934693,0.014353595785016049,0.028786305,0.040106417971813996,0.017466192028186008,1,1,27,9,2022,0.0
2022-09-28,0.0204654,0.0220338,0.02,0.0219453,368376.6821906501,31,0.023512730000000003,0.022827834,21.10561396275682,0.06530582524271855,0.027933569999999998,0.03856247986440679,0.0173046601355932,1,2,28,9,2022,0.0
