Timestamp,Open,High,Low,Close,Value,Trades,SMA_10,SMA_50,RSI_14,Return,Middle_Band,Upper_Band,Lower_Band,Return_Signal,Weekday,Day,Month,Year,TOD
2024-08-09,0.073,0.1112,0.06881,0.07831,3589736.5659599937,2583,0.059746,0.0724366,33.428107229894394,-0.0301366364448985,0.059179999999999996,0.07565183625081565,0.042708163749184354,-1,4,9,8,2024,0.0
2024-08-10,0.0788,0.08112,0.07202,0.07595,1445000.3924899986,1137,0.059746,0.0724366,33.428107229894394,-0.0301366364448985,0.059179999999999996,0.07565183625081565,0.042708163749184354,-1,5,10,8,2024,0.0
2024-08-11,0.07449,0.07929,0.06281,0.06374,830765.54784,657,0.059746,0.0724366,33.428107229894394,-0.16076366030283074,0.059179999999999996,0.07565183625081565,0.042708163749184354,-1,6,11,8,2024,0.0
2024-08-12,0.06393,0.08,0.0621,0.06232,1291279.0643000004,849,0.059746,0.0724366,33.428107229894394,-0.022278004392845996,0.059179999999999996,0.07565183625081565,0.042708163749184354,-1,0,12,8,2024,0.0
2024-08-13,0.06249,0.06669,0.057,0.05743,810795.3798199994,510,0.059746,0.0724366,33.428107229894394,-0.07846598202824129,0.059179999999999996,0.07565183625081565,0.042708163749184354,-1,1,13,8,2024,0.0
2024-08-14,0.05879,0.06322,0.055,0.0581,711214.4259499998,377,0.059746,0.0724366,33.428107229894394,0.011666376458296934,0.059179999999999996,0.07565183625081565,0.042708163749184354,1,2,14,8,2024,0.0
2024-08-15,0.05751,0.0615,0.05351,0.05519,502727.1112199998,380,0.059746,0.0724366,33.428107229894394,-0.05008605851979342,0.059179999999999996,0.07565183625081565,0.042708163749184354,-1,3,15,8,2024,0.0
2024-08-16,0.05511,0.05636,0.04554,0.0501,2178938.5471699983,885,0.059746,0.0724366,33.428107229894394,-0.09222685269070496,0.059179999999999996,0.07565183625081565,0.042708163749184354,-1,4,16,8,2024,0.0
2024-08-17,0.05,0.0536,0.04591,0.0462,407104.90693,312,0.059746,0.0724366,33.428107229894394,-0.07784431137724557,0.059179999999999996,0.07565183625081565,0.042708163749184354,-1,5,17,8,2024,0.0
2024-08-18,0.04719,0.055,0.04586,0.05012,478823.2916600003,272,0.059746,0.0724366,33.428107229894394,0.08484848484848495,0.059179999999999996,0.07565183625081565,0.042708163749184354,1,6,18,8,2024,0.0
2024-08-19,0.05012,0.06276,0.049,0.0529,1616992.6526200003,970,0.057205000000000006,0.0724366,33.428107229894394,0.055466879489225906,0.059179999999999996,0.07565183625081565,0.042708163749184354,1,0,19,8,2024,0.0
2024-08-20,0.05279,0.05549,0.0493,0.05369,507925.0494599999,705,0.054979,0.0724366,33.428107229894394,0.014933837429111474,0.059179999999999996,0.07565183625081565,0.042708163749184354,1,1,20,8,2024,0.0
2024-08-21,0.0529,0.05902,0.05068,0.0548,610211.8159800001,371,0.054084999999999994,0.0724366,33.428107229894394,0.020674241013224126,0.059179999999999996,0.07565183625081565,0.042708163749184354,1,2,21,8,2024,0.0
2024-08-22,0.05632,0.06489,0.0548,0.06199,490816.89158,349,0.054052,0.0724366,33.428107229894394,0.1312043795620439,0.059179999999999996,0.07565183625081565,0.042708163749184354,1,3,22,8,2024,0.0
2024-08-23,0.06111,0.07452,0.06111,0.06695,1178759.6021400003,597,0.05500400000000001,0.0724366,39.52029520295202,0.08001290530730754,0.059179999999999996,0.07565183625081565,0.042708163749184354,1,4,23,8,2024,0.0
2024-08-24,0.06662,0.06668,0.06333,0.06333,325605.2203000001,228,0.05552699999999999,0.0724366,38.622430580598625,-0.054070201643017124,0.059179999999999996,0.07565183625081565,0.042708163749184354,-1,5,24,8,2024,0.0
2024-08-25,0.06333,0.06607,0.06081,0.06353,117226.2101100001,170,0.05636100000000001,0.0724366,49.758342922899885,0.003158060950576358,0.059179999999999996,0.07565183625081565,0.042708163749184354,0,6,25,8,2024,0.0
2024-08-26,0.0645,0.06577,0.05787,0.06148,208395.35726,153,0.057499,0.0724366,49.047186932849364,-0.032268219738706194,0.059179999999999996,0.07565183625081565,0.042708163749184354,-1,0,26,8,2024,0.0
2024-08-27,0.06027,0.06193,0.05381,0.05381,429447.1299500001,397,0.05826,0.0724366,46.1374306444729,-0.12475601821730653,0.059179999999999996,0.07565183625081565,0.042708163749184354,-1,1,27,8,2024,0.0
2024-08-28,0.05428,0.05588,0.05078,0.05366,345535.17532,259,0.058614,0.0724366,45.20932239965473,-0.0027875859505667178,0.059179999999999996,0.07565183625081565,0.042708163749184354,-1,2,28,8,2024,0.0
2024-08-29,0.05386,0.06246,0.05384,0.05448,380146.66388,376,0.058772000000000005,0.0724366,49.19774011299435,0.015281401416324947,0.0579885,0.07187917278882905,0.04409782721117095,1,3,29,8,2024,0.0
2024-08-30,0.05457,0.0575,0.05173,0.05338,178205.00734,137,0.058741,0.0724366,54.07352210630899,-0.020190895741556636,0.05686,0.06800184903864705,0.045718150961352955,-1,4,30,8,2024,0.0
2024-08-31,0.05359,0.05471,0.05069,0.05115,177725.90826,151,0.058376,0.0724366,56.41357864731796,-0.04177594604720858,0.0562305,0.06715621177977604,0.04530478822022396,-1,5,31,8,2024,0.0
2024-09-01,0.051,0.05579,0.05047,0.05198,383904.7078900001,206,0.057374999999999995,0.0724366,52.61971830985915,0.01622678396871935,0.05571349999999999,0.06640193009495485,0.04502506990504513,1,6,1,9,2024,0.0
2024-09-02,0.05198,0.06797,0.05084,0.05727,1106176.36751,998,0.056407,0.0724366,55.74848724019994,0.10176991150442483,0.0557055,0.06638875886609512,0.04502224113390488,1,0,2,9,2024,0.0
2024-09-03,0.05752,0.06553,0.05752,0.05903,703948.4124799995,665,0.055977,0.0724366,56.849666495638786,0.03073162214073677,0.055752,0.06648711228583445,0.04501688771416556,1,1,3,9,2024,0.0
2024-09-04,0.05983,0.0686,0.05739,0.06192,560927.1340999998,385,0.055816,0.0724366,58.73405299313052,0.048958156869388425,0.0560885,0.06716589523819376,0.04501110476180624,1,2,4,9,2024,0.0
2024-09-05,0.06192,0.071,0.06023,0.0687,559053.8781999997,392,0.056538,0.0724366,58.31474597273853,0.10949612403100772,0.05701850000000001,0.06906014750924235,0.044976852490757675,1,3,5,9,2024,0.0
2024-09-06,0.06871,0.07399,0.06575,0.07169,1289866.3254700012,1104,0.058326,0.0724366,56.17509119332986,0.04352256186317338,0.058293000000000005,0.07089610755329812,0.04568989244670189,1,4,6,9,2024,0.0
2024-09-07,0.07209,0.073,0.06511,0.06544,169232.3088800001,209,0.059504,0.0724366,52.57254328212632,-0.08718091784070314,0.05905899999999999,0.071430687371618,0.04668731262838198,-1,5,7,9,2024,0.0
2024-09-08,0.06527,0.06527,0.05935,0.06243,538579.6505299992,459,0.06029899999999999,0.0724366,48.74486535828389,-0.045996332518337346,0.0595355,0.07163959147876518,0.047431408521234814,-1,6,8,9,2024,0.0
2024-09-09,0.06184,0.07722,0.0601,0.06843,623192.0149599997,596,0.06180399999999999,0.0724366,57.27444002512038,0.09610764055742438,0.06027249999999999,0.07266941621246781,0.04787558378753217,1,0,9,9,2024,0.0
2024-09-10,0.06792,0.06855,0.06639,0.06643,250506.2510099999,222,0.06333200000000001,0.0724366,64.98812351543944,-0.029226947245360235,0.060854,0.07326113275329538,0.04844686724670462,-1,1,10,9,2024,0.0
2024-09-11,0.0664,0.06974,0.05872,0.06679,1079484.1697800024,971,0.06481300000000001,0.0724366,65.51642637674308,0.00541923829595059,0.061094,0.07377630495404398,0.048411695045956014,1,2,11,9,2024,0.0
