Timestamp,Open,High,Low,Close,Value,Trades,SMA_10,SMA_50,RSI_14,Return,Middle_Band,Upper_Band,Lower_Band,Return_Signal,Weekday,Day,Month,Year,TOD
2024-08-30,0.04086,0.04205,0.03508,0.03716,71289.9907,60,0.04859,,46.34424980959635,-0.1037144235407621,,,,-1,4,30,8,2024,0.0
2024-08-31,0.03641,0.04129,0.03641,0.03846,58339.46385,46,0.048043999999999996,,44.131641554321966,0.03498385360602807,,,,1,5,31,8,2024,0.0
2024-09-01,0.03843,0.04022,0.03775,0.04022,22640.01356,20,0.046855999999999995,,52.31433248995386,0.0457618304732188,,,,1,6,1,9,2024,0.0
2024-09-02,0.03952,0.04566,0.03596,0.03991,91886.71523,54,0.044579999999999995,,56.177081668531244,-0.007707608155146595,0.0427495,0.061766732600709126,0.02373226739929088,-1,0,2,9,2024,0.0
2024-09-03,0.04012,0.06142,0.03997,0.04654,1148094.5856400006,445,0.043186999999999996,,58.39150227617603,0.16612377850162852,0.043835,0.0609264265980899,0.0267435734019101,1,1,3,9,2024,0.0
2024-09-04,0.04689,0.0605,0.04112,0.04491,223348.32858,128,0.042201,,50.837705195464544,-0.03502363558229482,0.0445485,0.06047214051868859,0.028624859481311403,-1,2,4,9,2024,0.0
2024-09-05,0.04497,0.05035,0.04215,0.0429,90959.52509,83,0.041754,,41.30763416477703,-0.04475617902471607,0.044547500000000004,0.0604715736324796,0.028623426367520414,-1,3,5,9,2024,0.0
2024-09-06,0.04307,0.04794,0.03724,0.0395,314384.74934,107,0.041485,,24.677595628415304,-0.07925407925407923,0.0441555,0.06017583244283487,0.02813516755716513,-1,4,6,9,2024,0.0
2024-09-07,0.03993,0.04282,0.03814,0.03941,458161.7785900001,171,0.04104699999999999,,25.870760769935842,-0.002278481012658262,0.044270500000000004,0.060109882596952185,0.02843111740304782,-1,5,7,9,2024,0.0
2024-09-08,0.03947,0.04187,0.03797,0.03841,144214.7101800001,74,0.040741999999999993,,28.993323061119682,-0.025374270489723405,0.044582,0.059646306506650607,0.029517693493349387,-1,6,8,9,2024,0.0
2024-09-09,0.04119,0.04119,0.03727,0.04006,59325.59293,46,0.041032,,38.987646881590834,0.04295756313460042,0.044811000000000004,0.059425243808875754,0.030196756191124254,1,0,9,9,2024,0.0
